restaurant,street_address,city_zip,comments
Boulud Sud,20 W 64th St (b/t West 64th St & W Central Park) Upper West Side New York, NY 10023,stunning meal.  especially the lamb and rouget entrees and the sardine first course.  excellent serviceCame here for a pre-theater dinner and got the $55 prix  fixe special. It was absolutely excellent. The food was phenomenal  I  suggest the gazpacho and the...Awesome - lower scale than Daniel's Super Fine eateries. Amazing food  amazing service! A must go in the Columbus Square area.
Flor De Mayo,484 Amsterdam Ave (b/t 83rd St & 84th St) Upper West Side New York, NY 10024,This place is awesome.  Better than that other more expensive/overrated Pio Pio.    Came here ravenous after a basketball game and was fiending for some...chino latino. thats right folks. the menu at flor de mayo is all over the place. i originally walked in because i was craving chinese. they were packed so i...Visited this restaurant on Amsterdam Avenue with my family of 4 for my mom's birthday this past Friday during early evening hours before the evening rush....
Recipe,452 Amsterdam Ave (b/t 81st St & 82nd St) Upper West Side New York, NY 10024,My fiance and I had a date-night dinner here. We shared the bread basket and then split the gnocchi with veggies and the skirt steak. The gnocci was very...Tiny portions and overpriced..$15 for a mediocre burger and duck fat chips (no option for fries)  the pulled pork sandwich was real good but could pass for...Fantastic  creative dishes. Medley of tastes  incredible. I think we were lucky to get two seats at the bar and we were immediately entertained by the...
Cafe Blossom,466 Columbus Ave (b/t 82nd St & 83rd St) Upper West Side New York, NY 10024,I love all things Blossom. Some more than others  maybe  but they're all great. I've been to Cafe Blossom a couple times for brunch and every time was a...Best vegan cheeseburger ever.I thought I had written reviews for all of my favorite places..but it seems like this one escaped my grasp A great place to fill your vegan skull..or even...
Swagat Indian Restaurant,411 Amsterdam Ave Ste A (b/t 80th St & 79th St) Upper West Side,Good solid Indian food.  One of us is from India  and he would say that this is average Indian food for the US.  We got delivery. Our favorite so far is the...I like this place  reasonable prices  good food  nice staff. Their peshawri nan is awesome. It's one of my favorites.I don't understand all the outrageously good reviews this place has gotten.  To begin with  the food is fine but not great by any means. The chicken tikka...
Picholine,35 W 64th St (b/t W Central Park & Broadway) Upper West Side New York, NY 10023,Picholine was beige....VERY beige.  The walls - beige.  The food - beige.  Nothing stood out. Food was disappointing.  It tasted.....beige.  I was really...It is  perhaps  a bit felicitous that I just happened to wander through a park filling up with protestors  that would in the following weeks become known as...I have to agree with Michael S. Although the staff are perfectly nice  willing  but less knowledgeable than they appear  the food is mediocre. My appetizer...
Atlantic Grill,49 W 64th St (b/t W Central Park & Broadway) Upper West Side New York, NY 10023,I've been here twice for dinner in "both" Atlantic Grills.....I'll explain-  There is a 64th street entrance and also a 65th street entrance to this...My friend picked this place for summer restaurant week.; one of the few we were interested in this summer.   Is it true that the restaurant week menu is...Dependable
Celeste,502 Amsterdam Ave (b/t 84th St & 85th St) Upper West Side New York, NY 10024,best italian in the city.  2nd place is bianca - which turns out is owned by the same guy.  downside is cash only.  other downside is the place is super...Great little hole in the wall find for date night on the Upper West Side!! The food was decently priced and delicious! We had the quattro pizza (with a side...My favorite Italian restaurant in the city. Great food  cheap and friendly atmosphere. The owner always hangs around and meets up with the patrons.   If you...
Dovetail,103 W 77th St (b/t Amsterdam Ave & Columbus Ave) Upper West Side New York, NY 10024,Having returned to Dovetail a few more times for brunch and dinner since my first Restaurant Week visit a couple years back  I think it's time for me to...Good place if you dig wine. I like their foie gra *spellcheck (duck liver).Alright  Dovetail  here we go. Having been to many upscale restaurants  I feel like I know what I want  and what restaurants are exquisite  versus good...
Bar Boulud,1900 Broadway (b/t 63rd St & 64th St) Upper West Side New York, NY 10023,I had wanted to try all of Daniel Boulud's restaurants  but had always been a bit weary of how the experience would turn out.  Allow me to explain.  I...Upscale French.Went to Bar Boulud for restaurant week lunch. The service was quite good  but food was really just average. I ordered the salad  croque Monsieur  and peach...
Ouest,2315 Broadway (b/t 83rd St & 84th St) Upper West Side New York, NY 10024,Extremely good service and delicious food. The food was good from appetizer to dessert  no complaints and our waiter was friendly & attentive. Great spotFriendly service  big portions  and nice wine list. The inside feels like an old manhattan men's club with big red booths that are great for groups. The...Terrific room. Many food items from the menu and even some standard drink items were not available. (There were several "We're out of thats.") Service was...
Telepan,72 W 69th St (b/t W Central Park & Columbus Ave) Upper West Side New York, NY 10023,I went here with my coworker (we are both pastry chefs). We thought it would be fun to go thinking they had a price fixe for Fashion Night Out which they...Been here twice for two different Restaurant Weeks  and another time on a coupon deal.  It is unfortunately a bit out of my price range to go here on a...I like this place. It's in the hood  so if we want a nice night out and don't want to travel this place is great. I've enjoyed everything I've had and...
Loi,208 W 70th St (b/t Amsterdam Ave & End Ave) Upper West Side New York, NY 10023,This was a great meal I had the Pastistio.  It was so delicate and tasty.  The executive chef actually made the rounds of the room and the wait staff was...Loi is in the old Compass space. For those who remember Compass  Loi is a definite upgrade - and they may have a chance of surviving if they can keep this...I really  really wanted to like this place.  We were visiting NYC from Tampa and I vetted Living Social deals for weeks  checking them out on Yelp.  This...
Land Thai Kitchen,450 Amsterdam Ave (b/t 81st St & 82nd St) Upper West Side New York, NY 10024,Drunken noodle with chicken was disappointment. I prefer broad noodle than Udon noodle. The noodle was not the only thing I didn't like. The flavor was...The masaman curry and the pad thai are very good here.  Although I wouldn't consider this the best thai i've ever had  but everything was pretty good.  We...Good service  great atmosphere  and great food! Lively crowd.
Sushi Yasaka,251 W 72nd St (b/t Broadway & West 72nd St) Upper West Side New York, NY 10023,Some of the best sushi in the city. Great quality very affordable and good atmosphere. I've brought many friends here and they love it! My favorite roll is...A very solid sushi spot in the UWS.Great Sushi  service was very good and the green tea ice cream just yummy!  The only thing I had mixed feelings about was the spicy scallops roll - buffalo...
Ocean Grill,384 Columbus Ave (b/t 77th St & 78th St) Upper West Side New York, NY 10024,I love this place- from the ambiance  the view outdoors to the History museum across the street  the excellent wine list and... the seafood- the amazing...Decent meal but not memorable.. Came for a friend's birthday dinner. Service was good and it was not as noisy in the side room as the main room but food was...Pricey but well worth it!!  Their salmon melts in your mouth  their calamari is to die for.
'Cesca,164 W 75th St Upper West Side New York, NY 10024 ,Was looking for something near The Beacon Theater and asked my brother-in-law who lives on the UWS for a recommendation. Lovely restaurant with interesting...Great food though a little out of my price range unless its a special occasion.  I've been here a couple times and always try something different....*Restaurant week 2012 review  'Cesca provided everything I needed for an amazing evening out with a good friend. Wine great food and great service. I had...
Rosa Mexicano,61 Columbus Ave (b/t 62nd St & 63rd St) Upper West Side New York, NY 10023,Capping off a weekend in NY   I came here with the parents and the BF for an early Sunday dinner.  This gorgeous upscale Mexican restaurant near Lincoln...Inconsistent  overpriced and vastly overrated. I've been here a few times and the food is "alright"  not all right.   Like many Mexican restaurants  they...This place is really popular.  I don't get it.  Simply because it's NYC?  The food is good but not good enough or unique enough to warrant the higher...
Calle Ocho,Inside the Excelsior Hotel 45 W 81st St Upper West Side New York, NY 10024,Went for brunch and it was amazing. The food is fantastic and the free sangria is delicious!During my 5-week stay in NYC  this restaurant wins # 1 for overall experience.   Food: Their complimentary bread & bean sauce/dip were so great! Their...I love this place!!
Boulud Sud,20 W 64th St (b/t West 64th St & W Central Park) Upper West Side New York, NY 10023,stunning meal.  especially the lamb and rouget entrees and the sardine first course.  excellent serviceCame here for a pre-theater dinner and got the $55 prix  fixe special. It was absolutely excellent. The food was phenomenal  I  suggest the gazpacho and the...Awesome - lower scale than Daniel's Super Fine eateries. Amazing food  amazing service! A must go in the Columbus Square area.
Flor De Mayo,484 Amsterdam Ave (b/t 83rd St & 84th St) Upper West Side New York, NY 10024,This place is awesome.  Better than that other more expensive/overrated Pio Pio.    Came here ravenous after a basketball game and was fiending for some...chino latino. thats right folks. the menu at flor de mayo is all over the place. i originally walked in because i was craving chinese. they were packed so i...Visited this restaurant on Amsterdam Avenue with my family of 4 for my mom's birthday this past Friday during early evening hours before the evening rush....
Recipe,452 Amsterdam Ave (b/t 81st St & 82nd St) Upper West Side New York, NY 10024,My fiance and I had a date-night dinner here. We shared the bread basket and then split the gnocchi with veggies and the skirt steak. The gnocci was very...Tiny portions and overpriced..$15 for a mediocre burger and duck fat chips (no option for fries)  the pulled pork sandwich was real good but could pass for...Fantastic  creative dishes. Medley of tastes  incredible. I think we were lucky to get two seats at the bar and we were immediately entertained by the...
Cafe Blossom,466 Columbus Ave (b/t 82nd St & 83rd St) Upper West Side New York, NY 10024,I love all things Blossom. Some more than others  maybe  but they're all great. I've been to Cafe Blossom a couple times for brunch and every time was a...Best vegan cheeseburger ever.I thought I had written reviews for all of my favorite places..but it seems like this one escaped my grasp A great place to fill your vegan skull..or even...
Swagat Indian Restaurant,411 Amsterdam Ave Ste A (b/t 80th St & 79th St) Upper West Side,Good solid Indian food.  One of us is from India  and he would say that this is average Indian food for the US.  We got delivery. Our favorite so far is the...I like this place  reasonable prices  good food  nice staff. Their peshawri nan is awesome. It's one of my favorites.I don't understand all the outrageously good reviews this place has gotten.  To begin with  the food is fine but not great by any means. The chicken tikka...
Saigon Grill,620 Amsterdam Ave (b/t 90th St & 91st St) Upper West Side New York, NY 10024,Bun Xao  Chicken! No other noodle dish will do it for you ever again! (except maybe the Beef Bun Xao).  The crispy Spring Rolls  along with Nuoc Chom (fish...Love Vietnamese food. When it's good  there's little that's better... California  Houston  even Denver all have it. I'm sure that NYC does  too  but it's...Ugh  eating here makes me want to book a one-way ticket to a San Jose or Westminster Viet deli. First  everything is way too pricey - and no the portions...
Atlantic Grill,49 W 64th St (b/t W Central Park & Broadway) Upper West Side New York, NY 10023,I've been here twice for dinner in "both" Atlantic Grills.....I'll explain-  There is a 64th street entrance and also a 65th street entrance to this...My friend picked this place for summer restaurant week.; one of the few we were interested in this summer.   Is it true that the restaurant week menu is...Dependable
Celeste,502 Amsterdam Ave (b/t 84th St & 85th St) Upper West Side New York, NY 10024,best italian in the city.  2nd place is bianca - which turns out is owned by the same guy.  downside is cash only.  other downside is the place is super...Great little hole in the wall find for date night on the Upper West Side!! The food was decently priced and delicious! We had the quattro pizza (with a side...My favorite Italian restaurant in the city. Great food  cheap and friendly atmosphere. The owner always hangs around and meets up with the patrons.   If you...
Dovetail,103 W 77th St (b/t Amsterdam Ave & Columbus Ave) Upper West Side New York, NY 10024,Having returned to Dovetail a few more times for brunch and dinner since my first Restaurant Week visit a couple years back  I think it's time for me to...Good place if you dig wine. I like their foie gra *spellcheck (duck liver).Alright  Dovetail  here we go. Having been to many upscale restaurants  I feel like I know what I want  and what restaurants are exquisite  versus good...
Bar Boulud,1900 Broadway (b/t 63rd St & 64th St) Upper West Side New York, NY 10023,I had wanted to try all of Daniel Boulud's restaurants  but had always been a bit weary of how the experience would turn out.  Allow me to explain.  I...Upscale French.Went to Bar Boulud for restaurant week lunch. The service was quite good  but food was really just average. I ordered the salad  croque Monsieur  and peach...
Ouest,2315 Broadway (b/t 83rd St & 84th St) Upper West Side New York, NY 10024,Extremely good service and delicious food. The food was good from appetizer to dessert  no complaints and our waiter was friendly & attentive. Great spotFriendly service  big portions  and nice wine list. The inside feels like an old manhattan men's club with big red booths that are great for groups. The...Terrific room. Many food items from the menu and even some standard drink items were not available. (There were several "We're out of thats.") Service was...
Telepan,72 W 69th St (b/t W Central Park & Columbus Ave) Upper West Side New York, NY 10023,I went here with my coworker (we are both pastry chefs). We thought it would be fun to go thinking they had a price fixe for Fashion Night Out which they...Been here twice for two different Restaurant Weeks  and another time on a coupon deal.  It is unfortunately a bit out of my price range to go here on a...I like this place. It's in the hood  so if we want a nice night out and don't want to travel this place is great. I've enjoyed everything I've had and...
Loi,208 W 70th St (b/t Amsterdam Ave & End Ave) Upper West Side New York, NY 10023,This was a great meal I had the Pastistio.  It was so delicate and tasty.  The executive chef actually made the rounds of the room and the wait staff was...Loi is in the old Compass space. For those who remember Compass  Loi is a definite upgrade - and they may have a chance of surviving if they can keep this...I really  really wanted to like this place.  We were visiting NYC from Tampa and I vetted Living Social deals for weeks  checking them out on Yelp.  This...
Land Thai Kitchen,450 Amsterdam Ave (b/t 81st St & 82nd St) Upper West Side New York, NY 10024,Drunken noodle with chicken was disappointment. I prefer broad noodle than Udon noodle. The noodle was not the only thing I didn't like. The flavor was...The masaman curry and the pad thai are very good here.  Although I wouldn't consider this the best thai i've ever had  but everything was pretty good.  We...Good service  great atmosphere  and great food! Lively crowd.
Sushi Yasaka,251 W 72nd St (b/t Broadway & West 72nd St) Upper West Side New York, NY 10023,Some of the best sushi in the city. Great quality very affordable and good atmosphere. I've brought many friends here and they love it! My favorite roll is...A very solid sushi spot in the UWS.Great Sushi  service was very good and the green tea ice cream just yummy!  The only thing I had mixed feelings about was the spicy scallops roll - buffalo...
Ocean Grill,384 Columbus Ave (b/t 77th St & 78th St) Upper West Side New York, NY 10024,I love this place- from the ambiance  the view outdoors to the History museum across the street  the excellent wine list and... the seafood- the amazing...Decent meal but not memorable.. Came for a friend's birthday dinner. Service was good and it was not as noisy in the side room as the main room but food was...Pricey but well worth it!!  Their salmon melts in your mouth  their calamari is to die for.
'Cesca,164 W 75th St Upper West Side New York, NY 10024 ,Was looking for something near The Beacon Theater and asked my brother-in-law who lives on the UWS for a recommendation. Lovely restaurant with interesting...Great food though a little out of my price range unless its a special occasion.  I've been here a couple times and always try something different....*Restaurant week 2012 review  'Cesca provided everything I needed for an amazing evening out with a good friend. Wine great food and great service. I had...
Rosa Mexicano,61 Columbus Ave (b/t 62nd St & 63rd St) Upper West Side New York, NY 10023,Capping off a weekend in NY   I came here with the parents and the BF for an early Sunday dinner.  This gorgeous upscale Mexican restaurant near Lincoln...Inconsistent  overpriced and vastly overrated. I've been here a few times and the food is "alright"  not all right.   Like many Mexican restaurants  they...This place is really popular.  I don't get it.  Simply because it's NYC?  The food is good but not good enough or unique enough to warrant the higher...
Calle Ocho,Inside the Excelsior Hotel 45 W 81st St Upper West Side New York, NY 10024,Went for brunch and it was amazing. The food is fantastic and the free sangria is delicious!During my 5-week stay in NYC  this restaurant wins # 1 for overall experience.   Food: Their complimentary bread & bean sauce/dip were so great! Their...I love this place!!
Boulud Sud,20 W 64th St (b/t West 64th St & W Central Park) Upper West Side New York, NY 10023,stunning meal.  especially the lamb and rouget entrees and the sardine first course.  excellent serviceCame here for a pre-theater dinner and got the $55 prix  fixe special. It was absolutely excellent. The food was phenomenal  I  suggest the gazpacho and the...Awesome - lower scale than Daniel's Super Fine eateries. Amazing food  amazing service! A must go in the Columbus Square area.
Flor De Mayo,484 Amsterdam Ave (b/t 83rd St & 84th St) Upper West Side New York, NY 10024,This place is awesome.  Better than that other more expensive/overrated Pio Pio.    Came here ravenous after a basketball game and was fiending for some...chino latino. thats right folks. the menu at flor de mayo is all over the place. i originally walked in because i was craving chinese. they were packed so i...Visited this restaurant on Amsterdam Avenue with my family of 4 for my mom's birthday this past Friday during early evening hours before the evening rush....
Recipe,452 Amsterdam Ave (b/t 81st St & 82nd St) Upper West Side New York, NY 10024,My fiance and I had a date-night dinner here. We shared the bread basket and then split the gnocchi with veggies and the skirt steak. The gnocci was very...Tiny portions and overpriced..$15 for a mediocre burger and duck fat chips (no option for fries)  the pulled pork sandwich was real good but could pass for...Fantastic  creative dishes. Medley of tastes  incredible. I think we were lucky to get two seats at the bar and we were immediately entertained by the...
Cafe Blossom,466 Columbus Ave (b/t 82nd St & 83rd St) Upper West Side New York, NY 10024,I love all things Blossom. Some more than others  maybe  but they're all great. I've been to Cafe Blossom a couple times for brunch and every time was a...Best vegan cheeseburger ever.I thought I had written reviews for all of my favorite places..but it seems like this one escaped my grasp A great place to fill your vegan skull..or even...
Swagat Indian Restaurant,411 Amsterdam Ave Ste A (b/t 80th St & 79th St) Upper West Side,Good solid Indian food.  One of us is from India  and he would say that this is average Indian food for the US.  We got delivery. Our favorite so far is the...I like this place  reasonable prices  good food  nice staff. Their peshawri nan is awesome. It's one of my favorites.I don't understand all the outrageously good reviews this place has gotten.  To begin with  the food is fine but not great by any means. The chicken tikka...
Saigon Grill,620 Amsterdam Ave (b/t 90th St & 91st St) Upper West Side New York, NY 10024,Bun Xao  Chicken! No other noodle dish will do it for you ever again! (except maybe the Beef Bun Xao).  The crispy Spring Rolls  along with Nuoc Chom (fish...Love Vietnamese food. When it's good  there's little that's better... California  Houston  even Denver all have it. I'm sure that NYC does  too  but it's...Ugh  eating here makes me want to book a one-way ticket to a San Jose or Westminster Viet deli. First  everything is way too pricey - and no the portions...
Gennaro,665 Amsterdam Ave (b/t 92nd St & 93rd St) Upper West Side New York, NY 10025,some of the food was good specials sounded interesting  but our waiter rattled them off in a long uninterrupted unintelligible mix  that I thought initially...Went there with a few of my friends on a Wednesday night. The food was really quite good  especially for the UWS -- but  the SERVICE WAS TERRIBLE. It took...Now I've been here before  as it's a neighborhood go-to most of the time  so I assumed that the delivery would be just as good. Boy was I wrong. After an...
Morimoto,88 10th Ave Meatpacking District New York, NY 10024 ,I would have to say of all the restaurants I've been to in my life so far  Morimoto's will be number one on that list til the day I die. It is truly worthy...Very good restaurant  but wasn't blown away by anything in particular. The decor is very nice  trendy and comfortable. The washrooms are near the top of the...I came for a friends birthday and decided to shell out some money.   Dont get me wrong  I would shell out money if I thought it worth it  but I honestly...
Del Posto,85 10th Ave (b/t 15th St & 16th St) Meatpacking District New York, NY 10011,This place is for the bridge and tunnel crowd. When people from New Jersey dream of an amazing restaurant in NYC  they dream of Del Posto. Which is fine....It's hard to even gather the words to begin to describe an evening at Del Posto  it really is that sublime.   I've had the opportunity to experience Del...Don't know that a less than rave review will make a difference here among all the five-star huzzahs  but we thought this place was very good  but far from...
Colicchio & Sons Main Dining Room,85 10th Ave (b/t W 15th St & W 16th St) Meatpacking District New York, NY 10011,Went for lunch on a rainy Oct day and it was a delight to have a window table  watch the rain  the people up 9th Avenue and enjoy the fabulous atmosphere of...I really enjoyed my experience here..can't really pinpoint what it was  but it seemed like everything just fell into place...you know...it was...Had the four course menu ($85). Between me and hubby  tasted 7 dishes and everything was delicious...down to the freshly baked parker rolls and petit fours....
The Red Cat,227 10th Ave (b/t 24th St & 23rd St) Chelsea New York, NY 10011,2.5  Is two stars too harsh? Well  meh  I've experienced better. Restaurateurs who want to charge $30 for an entree should remember that the pool is really...I really liked brunch here -- they make a simply excellent fried oyster po-boy. nice service -- responsive and let us linger.  plus  the bathrooms smell nice.Healthful delicious eats - Great Bar for dining alone Delightful Interior - Casual or Dressy Okay  When I'm within 20 blocks and I'm hungry + don't know...
Scarpetta,355 W 14th St (b/t Hudson St & 14 St) Meatpacking District New York, NY 10014,I really liked the place.  The food and the service were both fantastic!! And met the high expectations set for this restaurant.  To start with  the variety...Ok this place is simply amazing.  A co-worker suggested this place and said it was some of the best spaghetti she had had in NYC.  It's a great location in...My husband recently took me here for my b'day dinner. Both of us are big Food network fans and end up watching Scott Conant frequently on TV. I've seen how...
Legend Restaurant,88 7th Ave (b/t 16th St & 15th St) Chelsea New York, NY 10011,Since moving to Brooklyn  out of Manhattan  I have heard so much buzz about the new crop of Sichuan Restaurants popping up all over Manhattan.. During most...This place deserves more than 3.5 stars.  It's the best Sichuan food around  maybe the best in Manhattan.  Yes  it depends on the day and they aren't always...Once you get beyond the all too common in NYC near deafening noise level  this is a very good restaurant.  Smoked Peking Duck was sublime. Baby book choi...
Bistro La Promenade,461 W 23rd St (b/t 10th Ave & 9th Ave) Chelsea Manhattan, NY 10011,Best steak I ever had! it was tender  juicy and wow.This week it was French Restaurant week in NYC. My buddy told me there was a menu update at La Promenade and I should try the roasted duck breast.  So I...Went for brunch. Had the quiche. Unbelievably light and airy. The aps were solid- we were in a large group so we managed to try a few things- notably the...
Crema,111 W 17th St (b/t 7th Ave & Avenue Of The Americas) Chelsea New York, NY 10011,Came here for my girlfriends birthday and it was just great.  Loved the atmosphere.  Located on great block.  I got the enchiladas  which were not good....Brunch was great. I love that they put a limit on the time you spend there. The service was great and attentive. We almost missed brunch the server made...upscale mexican food... I should know better  kind of an oxymoron.  Overall  I really can't say the food was bad  but you're probably better off at a hole...
Da Umberto Restaurant,107 W 17th St (b/t 7th Ave & Avenue Of The Americas) Chelsea New York, NY 10011,I come here often for business lunches.  The food is great  always impresses everyone.  Staff is always very friendly.  Portions are big  I never walk out...One of my favorite italian restaurant in the city. Im usually not a big fan of italian food when Im in the city except if it is pizza. But I went here for a...Solid Xmas eve dinner... good  not amazing Italian food. My roommate and I feasted on 12/24/2011 here and had a great time. Good wine selection  okay...
Tre Dici,128 W 26th St 2nd Fl (b/t 7th Ave & Avenue Of The Americas) Chelsea,This review is for Tre Dici Steak which is next door on the second floor. We were looking for a place in Chelsea last minute on a Friday night that was...Definitely one of the more underrated restaurants in the city. I found this place while looking for a reservation for 6 on a Saturday night - not an easy...Went for an impromptu dinner with two girl friends last night. When we arrived  we were told that the downstairs main dining area had been fully booked and...
Tia Pol,205 10th Ave (b/t 22nd St & 23rd St) Chelsea New York, NY 10011,My favorite place in the city for tapas. Good for any occasion  but really great for a date night: spaces are intimate  service is fantastic with waitresses...Delicious tapas! Ate here for my first time last night  came with my boyfriend. Sat in the front part of the restaurant. Love the intimate vibe of the place...Solid Spanish taperia!  My wife found it either on yelp or some other website and she picked a good one!  Los camarones al ajillo en aceite oliva was as...
Restaurant Opportunities Center United,350 7th Ave Ste 1504 (b/t 30th St & Fashion Ave) Midtown West,Restaurant workers can be a plucky lot when one considers what they must deal with in order to financially support themselves and their dependents.  They...
Socarrat Paella Bar,259 W 19th St (b/t 7th Ave & 8th Ave) Chelsea New York, NY 10011,Restaurant atmosphere was nice  service was good. Before you order they alert you that it will take about 20 min to make the paella. The paella with squid...Finally tried the paella and it was very good.  A bit pricey at $22 per person  but you are served enough for 3 and can take home the left overs.I must say  by far  this place delivers one of THE best Paella's I've ever tasted!  Give it a shot! You won't be dissapointed!
Royal Siam Thai Cuisine,240 8th Ave (b/t 22nd St & 23rd St) Chelsea New York, NY 10011,GLITTERY FLOWER TABLES AND PURPLE WALLS! That is usually enough to win me over off the bat. But the food is good too. I wandered in here on a whim because...Fresh!  The servers were attentive  but not overbearing. When my date and I ordered a bottle of wine  they graciously moved unoccupied table next to us over...Solid neighborhood Thai. Billie Holiday playing in the background  they're generous with the shrimp  the papaya salad satisfies  and friendliness from the...
