"RESTAURANT","STREET_ADDRESS","CITY_ZIP","COMMENTS"
"SUSHI YASAKA","251 WEST 72 STREET UPPER WEST SIDE NEW YORK"," NY 10023","SOME OF THE BEST SUSHI IN THE CITY. GREAT QUALITY VERY AFFORDABLE AND GOOD ATMOSPHERE. I'VE BROUGHT MANY FRIENDS HERE AND THEY LOVE IT! MY FAVORITE ROLL IS...A VERY SOLID SUSHI SPOT IN THE UWS.GREAT SUSHI  SERVICE WAS VERY GOOD AND THE GREEN TEA ICE CREAM JUST YUMMY!  THE ONLY THING I HAD MIXED FEELINGS ABOUT WAS THE SPICY SCALLOPS ROLL - BUFFALO..."
"OCEAN GRILL","384 COLUMBUS AVENUE UPPER WEST SIDE NEW YORK"," NY 10024","I LOVE THIS PLACE- FROM THE AMBIANCE  THE VIEW OUTDOORS TO THE HISTORY MUSEUM ACROSS THE STREET  THE EXCELLENT WINE LIST AND... THE SEAFOOD- THE AMAZING...DECENT MEAL BUT NOT MEMORABLE.. CAME FOR A FRIEND'S BIRTHDAY DINNER. SERVICE WAS GOOD AND IT WAS NOT AS NOISY IN THE SIDE ROOM AS THE MAIN ROOM BUT FOOD WAS...PRICEY BUT WELL WORTH IT!!  THEIR SALMON MELTS IN YOUR MOUTH  THEIR CALAMARI IS TO DIE FOR."
"CESCA","164 WEST 75 STREET UPPER WEST SIDE NEW YORK"," NY 10024 ","WAS LOOKING FOR SOMETHING NEAR THE BEACON THEATER AND ASKED MY BROTHER-IN-LAW WHO LIVES ON THE UWS FOR A RECOMMENDATION. LOVELY RESTAURANT WITH INTERESTING...GREAT FOOD THOUGH A LITTLE OUT OF MY PRICE RANGE UNLESS ITS A SPECIAL OCCASION.  I'VE BEEN HERE A COUPLE TIMES AND ALWAYS TRY SOMETHING DIFFERENT....*RESTAURANT WEEK 2012 REVIEW  'CESCA PROVIDED EVERYTHING I NEEDED FOR AN AMAZING EVENING OUT WITH A GOOD FRIEND. WINE GREAT FOOD AND GREAT SERVICE. I HAD..."
"ROSA MEXICANO","61 COLUMBUS AVENUE UPPER WEST SIDE NEW YORK"," NY 10023","CAPPING OFF A WEEKEND IN NY   I CAME HERE WITH THE PARENTS AND THE BF FOR AN EARLY SUNDAY DINNER.  THIS GORGEOUS UPSCALE MEXICAN RESTAURANT NEAR LINCOLN...INCONSISTENT  OVERPRICED AND VASTLY OVERRATED. I'VE BEEN HERE A FEW TIMES AND THE FOOD IS ""ALRIGHT""  NOT ALL RIGHT.   LIKE MANY MEXICAN RESTAURANTS  THEY...THIS PLACE IS REALLY POPULAR.  I DON'T GET IT.  SIMPLY BECAUSE IT'S NYC?  THE FOOD IS GOOD BUT NOT GOOD ENOUGH OR UNIQUE ENOUGH TO WARRANT THE HIGHER..."
"CALLE OCHO","INSIDE THE EXCELSIOR HOTEL 45 WEST 81 STREET UPPER WEST SIDE NEW YORK"," NY 10024","WENT FOR BRUNCH AND IT WAS AMAZING. THE FOOD IS FANTASTIC AND THE FREE SANGRIA IS DELICIOUS!DURING MY 5-WEEK STAY IN NYC  THIS RESTAURANT WINS # 1 FOR OVERALL EXPERIENCE.   FOOD: THEIR COMPLIMENTARY BREAD & BEAN SAUCE/DIP WERE SO GREAT! THEIR...I LOVE THIS PLACE!!"
"BOULUD SUD","20 WEST 64 STREET UPPER WEST SIDE NEW YORK"," NY 10023","STUNNING MEAL.  ESPECIALLY THE LAMB AND ROUGET ENTREES AND THE SARDINE FIRST COURSE.  EXCELLENT SERVICECAME HERE FOR A PRE-THEATER DINNER AND GOT THE $55 PRIX  FIXE SPECIAL. IT WAS ABSOLUTELY EXCELLENT. THE FOOD WAS PHENOMENAL  I  SUGGEST THE GAZPACHO AND THE...AWESOME - LOWER SCALE THAN DANIEL'S SUPER FINE EATERIES. AMAZING FOOD  AMAZING SERVICE! A MUST GO IN THE COLUMBUS SQUARE AREA."
"FLOR DE MAYO","484 AMSTERDAM AVENUE UPPER WEST SIDE NEW YORK"," NY 10024","THIS PLACE IS AWESOME.  BETTER THAN THAT OTHER MORE EXPENSIVE/OVERRATED PIO PIO.    CAME HERE RAVENOUS AFTER A BASKETBALL GAME AND WAS FIENDING FOR SOME...CHINO LATINO. THATS RIGHT FOLKS. THE MENU AT FLOR DE MAYO IS ALL OVER THE PLACE. I ORIGINALLY WALKED IN BECAUSE I WAS CRAVING CHINESE. THEY WERE PACKED SO I...VISITED THIS RESTAURANT ON AMSTERDAM AVENUE WITH MY FAMILY OF 4 FOR MY MOM'S BIRTHDAY THIS PAST FRIDAY DURING EARLY EVENING HOURS BEFORE THE EVENING RUSH...."
"RECIPE","452 AMSTERDAM AVENUE UPPER WEST SIDE NEW YORK"," NY 10024","MY FIANCE AND I HAD A DATE-NIGHT DINNER HERE. WE SHARED THE BREAD BASKET AND THEN SPLIT THE GNOCCHI WITH VEGGIES AND THE SKIRT STEAK. THE GNOCCI WAS VERY...TINY PORTIONS AND OVERPRICED..$15 FOR A MEDIOCRE BURGER AND DUCK FAT CHIPS (NO OPTION FOR FRIES)  THE PULLED PORK SANDWICH WAS REAL GOOD BUT COULD PASS FOR...FANTASTIC  CREATIVE DISHES. MEDLEY OF TASTES  INCREDIBLE. I THINK WE WERE LUCKY TO GET TWO SEATS AT THE BAR AND WE WERE IMMEDIATELY ENTERTAINED BY THE..."
"CAFE BLOSSOM","466 COLUMBUS AVENUE UPPER WEST SIDE NEW YORK"," NY 10024","I LOVE ALL THINGS BLOSSOM. SOME MORE THAN OTHERS  MAYBE  BUT THEY'RE ALL GREAT. I'VE BEEN TO CAFE BLOSSOM A COUPLE TIMES FOR BRUNCH AND EVERY TIME WAS A...BEST VEGAN CHEESEBURGER EVER.I THOUGHT I HAD WRITTEN REVIEWS FOR ALL OF MY FAVORITE PLACES..BUT IT SEEMS LIKE THIS ONE ESCAPED MY GRASP A GREAT PLACE TO FILL YOUR VEGAN SKULL..OR EVEN..."
"SWAGAT INDIAN RESTAURANT","411 AMSTERDAM AVENUE STREET A UPPER WEST SIDE"," NY 10024","GOOD SOLID INDIAN FOOD.  ONE OF US IS FROM INDIA  AND HE WOULD SAY THAT THIS IS AVERAGE INDIAN FOOD FOR THE US.  WE GOT DELIVERY. OUR FAVORITE SO FAR IS THE...I LIKE THIS PLACE  REASONABLE PRICES  GOOD FOOD  NICE STAFF. THEIR PESHAWRI NAN IS AWESOME. IT'S ONE OF MY FAVORITES.I DON'T UNDERSTAND ALL THE OUTRAGEOUSLY GOOD REVIEWS THIS PLACE HAS GOTTEN.  TO BEGIN WITH  THE FOOD IS FINE BUT NOT GREAT BY ANY MEANS. THE CHICKEN TIKKA..."
"PICHOLINE","35 WEST 64 STREET UPPER WEST SIDE NEW YORK"," NY 10023","PICHOLINE WAS BEIGE....VERY BEIGE.  THE WALLS - BEIGE.  THE FOOD - BEIGE.  NOTHING STOOD OUT. FOOD WAS DISAPPOINTING.  IT TASTED.....BEIGE.  I WAS REALLY...IT IS  PERHAPS  A BIT FELICITOUS THAT I JUST HAPPENED TO WANDER THROUGH A PARK FILLING UP WITH PROTESTORS  THAT WOULD IN THE FOLLOWING WEEKS BECOME KNOWN AS...I HAVE TO AGREE WITH MICHAEL S. ALTHOUGH THE STAFF ARE PERFECTLY NICE  WILLING  BUT LESS KNOWLEDGEABLE THAN THEY APPEAR  THE FOOD IS MEDIOCRE. MY APPETIZER..."
"ATLANTIC GRILL","49 WEST 64 STREET UPPER WEST SIDE NEW YORK"," NY 10023","I'VE BEEN HERE TWICE FOR DINNER IN ""BOTH"" ATLANTIC GRILLS.....I'LL EXPLAIN-  THERE IS A 64TH STREET ENTRANCE AND ALSO A 65TH STREET ENTRANCE TO THIS...MY FRIEND PICKED THIS PLACE FOR SUMMER RESTAURANT WEEK.; ONE OF THE FEW WE WERE INTERESTED IN THIS SUMMER.   IS IT TRUE THAT THE RESTAURANT WEEK MENU IS...DEPENDABLE"
"CELESTE","502 AMSTERDAM AVENUE UPPER WEST SIDE NEW YORK"," NY 10024","BEST ITALIAN IN THE CITY.  2ND PLACE IS BIANCA - WHICH TURNS OUT IS OWNED BY THE SAME GUY.  DOWNSIDE IS CASH ONLY.  OTHER DOWNSIDE IS THE PLACE IS SUPER...GREAT LITTLE HOLE IN THE WALL FIND FOR DATE NIGHT ON THE UPPER WEST SIDE!! THE FOOD WAS DECENTLY PRICED AND DELICIOUS! WE HAD THE QUATTRO PIZZA (WITH A SIDE...MY FAVORITE ITALIAN RESTAURANT IN THE CITY. GREAT FOOD  CHEAP AND FRIENDLY ATMOSPHERE. THE OWNER ALWAYS HANGS AROUND AND MEETS UP WITH THE PATRONS.   IF YOU..."
"DOVETAIL","103 WEST 77 STREET UPPER WEST SIDE NEW YORK"," NY 10024","HAVING RETURNED TO DOVETAIL A FEW MORE TIMES FOR BRUNCH AND DINNER SINCE MY FIRST RESTAURANT WEEK VISIT A COUPLE YEARS BACK  I THINK IT'S TIME FOR ME TO...GOOD PLACE IF YOU DIG WINE. I LIKE THEIR FOIE GRA *SPELLCHECK (DUCK LIVER).ALRIGHT  DOVETAIL  HERE WE GO. HAVING BEEN TO MANY UPSCALE RESTAURANTS  I FEEL LIKE I KNOW WHAT I WANT  AND WHAT RESTAURANTS ARE EXQUISITE  VERSUS GOOD..."
"BAR BOULUD","1900 BROADWAY UPPER WEST SIDE NEW YORK"," NY 10023","I HAD WANTED TO TRY ALL OF DANIEL BOULUD'S RESTAURANTS  BUT HAD ALWAYS BEEN A BIT WEARY OF HOW THE EXPERIENCE WOULD TURN OUT.  ALLOW ME TO EXPLAIN.  I...UPSCALE FRENCH.WENT TO BAR BOULUD FOR RESTAURANT WEEK LUNCH. THE SERVICE WAS QUITE GOOD  BUT FOOD WAS REALLY JUST AVERAGE. I ORDERED THE SALAD  CROQUE MONSIEUR  AND PEACH..."
"OUEST","2315 BROADWAY UPPER WEST SIDE NEW YORK"," NY 10024","EXTREMELY GOOD SERVICE AND DELICIOUS FOOD. THE FOOD WAS GOOD FROM APPETIZER TO DESSERT  NO COMPLAINTS AND OUR WAITER WAS FRIENDLY & ATTENTIVE. GREAT SPOTFRIENDLY SERVICE  BIG PORTIONS  AND NICE WINE LIST. THE INSIDE FEELS LIKE AN OLD MANHATTAN MEN'S CLUB WITH BIG RED BOOTHS THAT ARE GREAT FOR GROUPS. THE...TERRIFIC ROOM. MANY FOOD ITEMS FROM THE MENU AND EVEN SOME STANDARD DRINK ITEMS WERE NOT AVAILABLE. (THERE WERE SEVERAL ""WE'RE OUT OF THATS."") SERVICE WAS..."
"TELEPAN","72 WEST 69 STREET UPPER WEST SIDE NEW YORK"," NY 10023","I WENT HERE WITH MY COWORKER (WE ARE BOTH PASTRY CHEFS). WE THOUGHT IT WOULD BE FUN TO GO THINKING THEY HAD A PRICE FIXE FOR FASHION NIGHT OUT WHICH THEY...BEEN HERE TWICE FOR TWO DIFFERENT RESTAURANT WEEKS  AND ANOTHER TIME ON A COUPON DEAL.  IT IS UNFORTUNATELY A BIT OUT OF MY PRICE RANGE TO GO HERE ON A...I LIKE THIS PLACE. IT'S IN THE HOOD  SO IF WE WANT A NICE NIGHT OUT AND DON'T WANT TO TRAVEL THIS PLACE IS GREAT. I'VE ENJOYED EVERYTHING I'VE HAD AND..."
"LOI","208 WEST 70 STREET UPPER WEST SIDE NEW YORK"," NY 10023","THIS WAS A GREAT MEAL I HAD THE PASTISTIO.  IT WAS SO DELICATE AND TASTY.  THE EXECUTIVE CHEF ACTUALLY MADE THE ROUNDS OF THE ROOM AND THE WAIT STAFF WAS...LOI IS IN THE OLD COMPASS SPACE. FOR THOSE WHO REMEMBER COMPASS  LOI IS A DEFINITE UPGRADE - AND THEY MAY HAVE A CHANCE OF SURVIVING IF THEY CAN KEEP THIS...I REALLY  REALLY WANTED TO LIKE THIS PLACE.  WE WERE VISITING NYC FROM TAMPA AND I VETTED LIVING SOCIAL DEALS FOR WEEKS  CHECKING THEM OUT ON YELP.  THIS..."
"LAND THAI KITCHEN","450 AMSTERDAM AVENUE UPPER WEST SIDE NEW YORK"," NY 10024","DRUNKEN NOODLE WITH CHICKEN WAS DISAPPOINTMENT. I PREFER BROAD NOODLE THAN UDON NOODLE. THE NOODLE WAS NOT THE ONLY THING I DIDN'T LIKE. THE FLAVOR WAS...THE MASAMAN CURRY AND THE PAD THAI ARE VERY GOOD HERE.  ALTHOUGH I WOULDN'T CONSIDER THIS THE BEST THAI I'VE EVER HAD  BUT EVERYTHING WAS PRETTY GOOD.  WE...GOOD SERVICE  GREAT ATMOSPHERE  AND GREAT FOOD! LIVELY CROWD."
"SUSHI YASAKA","251 WEST 72 STREET UPPER WEST SIDE NEW YORK"," NY 10023","SOME OF THE BEST SUSHI IN THE CITY. GREAT QUALITY VERY AFFORDABLE AND GOOD ATMOSPHERE. I'VE BROUGHT MANY FRIENDS HERE AND THEY LOVE IT! MY FAVORITE ROLL IS...A VERY SOLID SUSHI SPOT IN THE UWS.GREAT SUSHI  SERVICE WAS VERY GOOD AND THE GREEN TEA ICE CREAM JUST YUMMY!  THE ONLY THING I HAD MIXED FEELINGS ABOUT WAS THE SPICY SCALLOPS ROLL - BUFFALO..."
"OCEAN GRILL","384 COLUMBUS AVENUE UPPER WEST SIDE NEW YORK"," NY 10024","I LOVE THIS PLACE- FROM THE AMBIANCE  THE VIEW OUTDOORS TO THE HISTORY MUSEUM ACROSS THE STREET  THE EXCELLENT WINE LIST AND... THE SEAFOOD- THE AMAZING...DECENT MEAL BUT NOT MEMORABLE.. CAME FOR A FRIEND'S BIRTHDAY DINNER. SERVICE WAS GOOD AND IT WAS NOT AS NOISY IN THE SIDE ROOM AS THE MAIN ROOM BUT FOOD WAS...PRICEY BUT WELL WORTH IT!!  THEIR SALMON MELTS IN YOUR MOUTH  THEIR CALAMARI IS TO DIE FOR."
"CESCA","164 WEST 75 STREET UPPER WEST SIDE NEW YORK"," NY 10024 ","WAS LOOKING FOR SOMETHING NEAR THE BEACON THEATER AND ASKED MY BROTHER-IN-LAW WHO LIVES ON THE UWS FOR A RECOMMENDATION. LOVELY RESTAURANT WITH INTERESTING...GREAT FOOD THOUGH A LITTLE OUT OF MY PRICE RANGE UNLESS ITS A SPECIAL OCCASION.  I'VE BEEN HERE A COUPLE TIMES AND ALWAYS TRY SOMETHING DIFFERENT....*RESTAURANT WEEK 2012 REVIEW  'CESCA PROVIDED EVERYTHING I NEEDED FOR AN AMAZING EVENING OUT WITH A GOOD FRIEND. WINE GREAT FOOD AND GREAT SERVICE. I HAD..."
"ROSA MEXICANO","61 COLUMBUS AVENUE UPPER WEST SIDE NEW YORK"," NY 10023","CAPPING OFF A WEEKEND IN NY   I CAME HERE WITH THE PARENTS AND THE BF FOR AN EARLY SUNDAY DINNER.  THIS GORGEOUS UPSCALE MEXICAN RESTAURANT NEAR LINCOLN...INCONSISTENT  OVERPRICED AND VASTLY OVERRATED. I'VE BEEN HERE A FEW TIMES AND THE FOOD IS ""ALRIGHT""  NOT ALL RIGHT.   LIKE MANY MEXICAN RESTAURANTS  THEY...THIS PLACE IS REALLY POPULAR.  I DON'T GET IT.  SIMPLY BECAUSE IT'S NYC?  THE FOOD IS GOOD BUT NOT GOOD ENOUGH OR UNIQUE ENOUGH TO WARRANT THE HIGHER..."
"CALLE OCHO","EXCELSIOR HOTEL 45 WEST 81 STREET UPPER WEST SIDE NEW YORK"," NY 10024","WENT FOR BRUNCH AND IT WAS AMAZING. THE FOOD IS FANTASTIC AND THE FREE SANGRIA IS DELICIOUS!DURING MY 5-WEEK STAY IN NYC  THIS RESTAURANT WINS # 1 FOR OVERALL EXPERIENCE.   FOOD: THEIR COMPLIMENTARY BREAD & BEAN SAUCE/DIP WERE SO GREAT! THEIR...I LOVE THIS PLACE!!"
"BOULUD SUD","20 WEST 64 STREET UPPER WEST SIDE NEW YORK"," NY 10023","STUNNING MEAL.  ESPECIALLY THE LAMB AND ROUGET ENTREES AND THE SARDINE FIRST COURSE.  EXCELLENT SERVICECAME HERE FOR A PRE-THEATER DINNER AND GOT THE $55 PRIX  FIXE SPECIAL. IT WAS ABSOLUTELY EXCELLENT. THE FOOD WAS PHENOMENAL  I  SUGGEST THE GAZPACHO AND THE...AWESOME - LOWER SCALE THAN DANIEL'S SUPER FINE EATERIES. AMAZING FOOD  AMAZING SERVICE! A MUST GO IN THE COLUMBUS SQUARE AREA."
"FLOR DE MAYO","484 AMSTERDAM AVENUE UPPER WEST SIDE NEW YORK"," NY 10024","THIS PLACE IS AWESOME.  BETTER THAN THAT OTHER MORE EXPENSIVE/OVERRATED PIO PIO.    CAME HERE RAVENOUS AFTER A BASKETBALL GAME AND WAS FIENDING FOR SOME...CHINO LATINO. THATS RIGHT FOLKS. THE MENU AT FLOR DE MAYO IS ALL OVER THE PLACE. I ORIGINALLY WALKED IN BECAUSE I WAS CRAVING CHINESE. THEY WERE PACKED SO I...VISITED THIS RESTAURANT ON AMSTERDAM AVENUE WITH MY FAMILY OF 4 FOR MY MOM'S BIRTHDAY THIS PAST FRIDAY DURING EARLY EVENING HOURS BEFORE THE EVENING RUSH...."
"RECIPE","452 AMSTERDAM AVENUE UPPER WEST SIDE NEW YORK"," NY 10024","MY FIANCE AND I HAD A DATE-NIGHT DINNER HERE. WE SHARED THE BREAD BASKET AND THEN SPLIT THE GNOCCHI WITH VEGGIES AND THE SKIRT STEAK. THE GNOCCI WAS VERY...TINY PORTIONS AND OVERPRICED..$15 FOR A MEDIOCRE BURGER AND DUCK FAT CHIPS (NO OPTION FOR FRIES)  THE PULLED PORK SANDWICH WAS REAL GOOD BUT COULD PASS FOR...FANTASTIC  CREATIVE DISHES. MEDLEY OF TASTES  INCREDIBLE. I THINK WE WERE LUCKY TO GET TWO SEATS AT THE BAR AND WE WERE IMMEDIATELY ENTERTAINED BY THE..."
"CAFE BLOSSOM","466 COLUMBUS AVENUE UPPER WEST SIDE NEW YORK"," NY 10024","I LOVE ALL THINGS BLOSSOM. SOME MORE THAN OTHERS  MAYBE  BUT THEY'RE ALL GREAT. I'VE BEEN TO CAFE BLOSSOM A COUPLE TIMES FOR BRUNCH AND EVERY TIME WAS A...BEST VEGAN CHEESEBURGER EVER.I THOUGHT I HAD WRITTEN REVIEWS FOR ALL OF MY FAVORITE PLACES..BUT IT SEEMS LIKE THIS ONE ESCAPED MY GRASP A GREAT PLACE TO FILL YOUR VEGAN SKULL..OR EVEN..."
"SAIGON GRILL","620 AMSTERDAM AVENUE UPPER WEST SIDE NEW YORK"," NY 10024","BUN XAO  CHICKEN! NO OTHER NOODLE DISH WILL DO IT FOR YOU EVER AGAIN! (EXCEPT MAYBE THE BEEF BUN XAO).  THE CRISPY SPRING ROLLS  ALONG WITH NUOC CHOM (FISH...LOVE VIETNAMESE FOOD. WHEN IT'S GOOD  THERE'S LITTLE THAT'S BETTER... CALIFORNIA  HOUSTON  EVEN DENVER ALL HAVE IT. I'M SURE THAT NYC DOES  TOO  BUT IT'S...UGH  EATING HERE MAKES ME WANT TO BOOK A ONE-WAY TICKET TO A SAN JOSE OR WESTMINSTER VIET DELI. FIRST  EVERYTHING IS WAY TOO PRICEY - AND NO THE PORTIONS..."
"ATLANTIC GRILL","49 WEST 64 STREET UPPER WEST SIDE NEW YORK"," NY 10023","I'VE BEEN HERE TWICE FOR DINNER IN ""BOTH"" ATLANTIC GRILLS.....I'LL EXPLAIN-  THERE IS A 64TH STREET ENTRANCE AND ALSO A 65TH STREET ENTRANCE TO THIS...MY FRIEND PICKED THIS PLACE FOR SUMMER RESTAURANT WEEK.; ONE OF THE FEW WE WERE INTERESTED IN THIS SUMMER.   IS IT TRUE THAT THE RESTAURANT WEEK MENU IS...DEPENDABLE"
"CELESTE","502 AMSTERDAM AVENUE UPPER WEST SIDE NEW YORK"," NY 10024","BEST ITALIAN IN THE CITY.  2ND PLACE IS BIANCA - WHICH TURNS OUT IS OWNED BY THE SAME GUY.  DOWNSIDE IS CASH ONLY.  OTHER DOWNSIDE IS THE PLACE IS SUPER...GREAT LITTLE HOLE IN THE WALL FIND FOR DATE NIGHT ON THE UPPER WEST SIDE!! THE FOOD WAS DECENTLY PRICED AND DELICIOUS! WE HAD THE QUATTRO PIZZA (WITH A SIDE...MY FAVORITE ITALIAN RESTAURANT IN THE CITY. GREAT FOOD  CHEAP AND FRIENDLY ATMOSPHERE. THE OWNER ALWAYS HANGS AROUND AND MEETS UP WITH THE PATRONS.   IF YOU..."
"DOVETAIL","103 WEST 77 STREET UPPER WEST SIDE NEW YORK"," NY 10024","HAVING RETURNED TO DOVETAIL A FEW MORE TIMES FOR BRUNCH AND DINNER SINCE MY FIRST RESTAURANT WEEK VISIT A COUPLE YEARS BACK  I THINK IT'S TIME FOR ME TO...GOOD PLACE IF YOU DIG WINE. I LIKE THEIR FOIE GRA *SPELLCHECK (DUCK LIVER).ALRIGHT  DOVETAIL  HERE WE GO. HAVING BEEN TO MANY UPSCALE RESTAURANTS  I FEEL LIKE I KNOW WHAT I WANT  AND WHAT RESTAURANTS ARE EXQUISITE  VERSUS GOOD..."
